id_viagem,estado_mar,distancia_km
1,Muito Calmo,644.8
2,Calmo,2790.0
3,Agitado,1228.5
4,Moderado,994.2
5,Muito Calmo,3291.0
6,Calmo,72.2
7,Calmo,1736.1
8,Muito Calmo,3319.6
9,Muito Calmo,2172.5
10,Tempestuoso,3007.4
11,Calmo,2886.8
12,Agitado,1213.9
13,Tempestuoso,3363.4
14,Muito Calmo,3541.8
15,Muito Calmo,820.9
16,Tempestuoso,1540.2
17,Muito Calmo,3690.0
18,Tempestuoso,2689.5
19,Agitado,3087.5
20,Moderado,1178.9
21,Tempestuoso,3291.0
22,Tempestuoso,2451.1
23,Agitado,562.3
24,Tempestuoso,2317.0
25,Agitado,544.4
26,Muito Calmo,1706.2
27,Tempestuoso,3552.9
28,Calmo,3302.2
29,Muito Calmo,1861.4
30,Calmo,1191.9
31,Moderado,156.1
32,Calmo,668.9
33,Muito Calmo,2993.4
34,Muito Calmo,1559.6
35,Muito Calmo,3294.8
36,Calmo,475.9
37,Muito Calmo,2909.4
38,Tempestuoso,3687.6
39,Moderado,774.7
40,Calmo,2616.3
41,Agitado,2093.4
42,Agitado,3708.5
43,Tempestuoso,3249.0
44,Agitado,2721.0
45,Moderado,2644.0
46,Muito Calmo,1375.1
47,Muito Calmo,2964.3
48,Agitado,1841.8
49,Muito Calmo,1363.0
50,Tempestuoso,2448.6
51,Tempestuoso,2080.7
52,Calmo,258.7
53,Tempestuoso,1057.1
54,Moderado,586.5
55,Calmo,3756.8
56,Tempestuoso,978.1
57,Muito Calmo,2382.8
58,Muito Calmo,2661.7
59,Tempestuoso,380.3
60,Agitado,621.0
61,Moderado,2794.5
62,Calmo,2653.9
63,Moderado,404.9
64,Moderado,1223.4
65,Tempestuoso,2312.6
66,Agitado,476.9
67,Muito Calmo,1552.4
68,Tempestuoso,248.7
69,Moderado,816.4
70,Tempestuoso,682.1
71,Agitado,871.8
72,Tempestuoso,867.3
73,Agitado,2605.4
74,Muito Calmo,3918.6
75,Calmo,3751.5
76,Moderado,638.7
77,Tempestuoso,3261.8
78,Tempestuoso,3408.9
79,Calmo,1225.0
